Date,AAPL,AMZN,CSCO,GOOGL,INTC,JPM,MSFT,PG,TSLA,V
2021-07-16,144.30914306640625,178.68150329589844,49.79082107543945,126.97000122070312,50.9775505065918,141.27171325683594,274.6698303222656,132.05746459960938,214.74000549316406,243.5556640625
2021-07-19,140.42515563964844,177.47950744628906,49.19740676879883,124.5780029296875,50.6715202331543,136.67764282226562,271.0108337402344,131.99169921875,215.4066619873047,235.98751831054688
2021-07-20,144.07254028320312,178.6595001220703,49.6795539855957,126.20950317382812,51.22794723510742,139.2257843017578,273.27081298828125,131.2867889404297,220.1666717529297,238.2353973388672
2021-07-21,143.3332061767578,179.25999450683594,49.95771408081055,127.54900360107422,52.14603042602539,142.1551971435547,275.3057556152344,130.8262481689453,218.42999267578125,239.177734375
2021-07-22,144.71331787109375,181.90150451660156,50.56966781616211,128.42149353027344,51.89564514160156,140.36033630371094,279.94317626953125,130.32504272460938,216.4199981689453,239.64891052246094
2021-07-23,146.4483184814453,182.83200073242188,51.20943832397461,133.01499938964844,49.15062713623047,140.09063720703125,283.3966979980469,132.2070770263672,214.4600067138672,244.4391326904297
2021-07-26,146.87220764160156,184.99099731445312,51.43196105957031,134.03500366210938,50.36548614501953,141.02993774414062,282.7901306152344,132.67051696777344,219.2066650390625,245.64646911621094
2021-07-27,144.6837158203125,181.3195037841797,51.25579071044922,131.89999389648438,49.31755447387695,140.8439178466797,280.33447265625,133.20957946777344,214.92666625976562,246.31396484375
2021-07-28,142.91917419433594,181.51600646972656,50.782920837402344,136.093994140625,49.21554946899414,141.07640075683594,280.0213623046875,131.2329559326172,215.66000366210938,242.39736938476562
2021-07-29,143.5697784423828,179.99600219726562,51.06108093261719,135.77749633789062,49.79978942871094,142.28538513183594,280.2953186035156,131.91390991210938,225.78334045410156,243.359375
2021-07-30,143.78668212890625,166.37950134277344,51.33924102783203,134.72650146484375,49.81834411621094,141.15081787109375,278.7397766113281,134.5147247314453,229.06666564941406,241.85748291015625
2021-08-02,143.45150756835938,166.57400512695312,51.41341781616211,134.85450744628906,49.78124237060547,140.58351135253906,278.65167236328125,134.18370056152344,236.55667114257812,235.3690948486328
2021-08-03,145.26536560058594,168.31199645996094,52.155181884765625,135.6300048828125,50.13364791870117,142.18307495117188,280.9018859863281,136.1414031982422,236.5800018310547,232.7285614013672
2021-08-04,144.86117553710938,167.73599243164062,51.63594436645508,135.12550354003906,49.98527145385742,140.6486358642578,280.30511474609375,134.70387268066406,236.97332763671875,232.31631469726562
2021-08-05,144.96961975097656,168.79949951171875,51.70085144042969,136.25149536132812,50.30075454711914,142.4248809814453,283.2498779296875,134.77008056640625,238.2100067138672,235.79122924804688
2021-08-06,144.2785186767578,167.2469940185547,51.5432243347168,135.73849487304688,50.32875442504883,146.4702606201172,283.19122314453125,133.7391815185547,233.03334045410156,236.95928955078125
2021-08-09,144.22918701171875,167.093505859375,51.43196105957031,136.91299438476562,50.45009994506836,146.31214904785156,282.0857238769531,134.46743774414062,237.9199981689453,235.58505249023438
2021-08-10,143.74542236328125,166.03399658203125,51.56177520751953,136.8070068359375,50.34741973876953,148.1069793701172,280.2366027832031,134.5525360107422,236.663330078125,233.69058227539062
2021-08-11,144.0021209716797,164.60549926757812,51.793575286865234,136.2790069580078,50.53410339355469,149.87393188476562,280.735595703125,134.88356018066406,235.94000244140625,230.7359161376953
2021-08-12,146.99351501464844,165.1750030517578,52.28498840332031,137.19400024414062,49.974056243896484,150.45980834960938,283.5335998535156,135.19566345214844,240.75,227.8362579345703
2021-08-13,147.20083618164062,164.69850158691406,52.359169006347656,137.7274932861328,49.92739486694336,148.77655029296875,286.5077819824219,135.8482666015625,239.05667114257812,228.6815643310547
2021-08-16,149.19508361816406,164.94949340820312,52.18299865722656,138.3094940185547,49.90872573852539,147.80007934570312,288.21990966796875,136.79397583007812,228.72332763671875,231.34535217285156
2021-08-17,148.27694702148438,162.09800720214844,51.93265151977539,136.6614990234375,49.18067169189453,146.01455688476562,286.7327880859375,137.02099609375,221.90333557128906,230.52951049804688
2021-08-18,144.4957275390625,160.06100463867188,51.13525390625,135.44900512695312,48.71397399902344,144.68470764160156,284.9782409667969,135.5266571044922,229.663330078125,227.6790008544922
